date,SPY,QQQ,SCHD,IEF,GLD,SGOV,TQQQ,TQQQ_cal,QLD,QLD_cal
1998-06-11,0.00026030654069819636,0.0,0.00026030654069819636,0.00015191780821917808,0.0,0.0001409517025193,0.0,0.0,0.0,0.0
1998-06-12,1.919575905029447e-05,0.0,1.919575905029447e-05,0.00014972602739726028,0.0,0.0001398120217521,0.0,0.0,0.0,0.0
1998-06-15,8.943475191869332e-06,0.0,8.943475191869332e-06,0.00044835616438356163,0.0,0.0004211454988773,0.0,0.0,0.0,0.0
1998-06-16,-1.4084833876992775e-07,0.0,-1.4084833876992775e-07,0.00014835616438356163,0.0,0.000140096920062,0.0,0.0,0.0,0.0
1998-06-17,4.0863840161664555e-05,0.0,4.0863840161664555e-05,0.00015027397260273945,0.0,0.000142376631774,0.0,0.0,0.0,0.0
1998-06-18,4.515470012411704e-05,0.0,4.515470012411704e-05,0.00015273972602739726,0.0,0.0001432317644718,0.0,0.0,0.0,0.0
1998-06-19,6.9595959756307835e-06,0.0,6.9595959756307835e-06,0.00015178082191780821,0.0,0.0001420916167352,0.0,0.0,0.0,0.0
1998-06-22,1.2966148349891071e-05,0.0,1.2966148349891071e-05,0.0004524657534246575,0.0,0.0004245648913251,0.0,0.0,0.0,0.0
1998-06-23,3.0767214578286683e-06,0.0,3.0767214578286683e-06,0.00015068493150684933,0.0,0.0001403818329591,0.0,0.0,0.0,0.0
1998-06-24,4.002352718091018e-05,0.0,4.002352718091018e-05,0.0001504109589041096,0.0,0.0001398120217521,0.0,0.0,0.0,0.0
1998-06-25,-4.686177728197016e-06,0.0,-4.686177728197016e-06,0.00015068493150684933,0.0,0.0001381029381611,0.0,0.0,0.0,0.0
1998-06-26,0.00016803904911100176,0.0,0.00016803904911100176,0.00015068493150684933,0.0,0.0001375333602774,0.0,0.0,0.0,0.0
1998-06-29,1.1533238086114395e-05,0.0,1.1533238086114395e-05,0.0004516438356164383,0.0,0.000410891522107,0.0,0.0,0.0,0.0
1998-06-30,8.439537082471915e-05,0.0,8.439537082471915e-05,0.00015095890410958876,0.0,0.0001375333602774,0.0,0.0,0.0,0.0
1998-07-01,3.365159503165849e-05,0.0,3.365159503165849e-05,0.00015013698630136988,0.0,0.0001398120217521,0.0,0.0,0.0,0.0
1998-07-02,3.671997151455386e-06,0.0,3.671997151455386e-06,0.00014986301369863015,0.0,0.0001395271380283,0.0,0.0,0.0,0.0
1998-07-06,0.00014779273495180156,0.0,0.00014779273495180156,0.0005967123287671232,0.0,0.0005558296573377,0.0,0.0,0.0,0.0
1998-07-07,1.33435133776727e-05,0.0,1.33435133776727e-05,0.0001484931506849315,0.0,0.0001386725743621,0.0,0.0,0.0,0.0
1998-07-08,0.00025277416580560264,0.0,0.00025277416580560264,0.00014931506849315067,0.0,0.0001392422688894,0.0,0.0,0.0,0.0
1998-07-09,1.2216853106927772e-05,0.0,1.2216853106927772e-05,0.0001495890410958904,0.0,0.0001395271380283,0.0,0.0,0.0,0.0
1998-07-10,3.975339733841565e-06,0.0,3.975339733841565e-06,0.0001489041095890411,0.0,0.0001389574143344,0.0,0.0,0.0,0.0
1998-07-13,3.81682338683742e-05,0.0,3.81682338683742e-05,0.0004475342465753424,0.0,0.0004160177230863,0.0,0.0,0.0,0.0
1998-07-14,1.5850564918595822e-05,0.0,1.5850564918595822e-05,0.0001504109589041096,0.0,0.0001395271380283,0.0,0.0,0.0,0.0
1998-07-15,4.254434745942781e-06,0.0,4.254434745942781e-06,0.0001510958904109589,0.0,0.0001412366591846,0.0,0.0,0.0,0.0
1998-07-16,2.2315877000522732e-05,0.0,2.2315877000522732e-05,0.0001508219178082192,0.0,0.0001409517025193,0.0,0.0,0.0,0.0
