SCHD,SPY,QQQ,key,grid,구간,구간명,최종자산_세전,최종자산_세후,최종자산_원화,CAGR_세전,CAGR_세후,CAGR_원화,MDD,MDD고점,MDD저점,최장회복_거래일,회복완료,연변동성,Sharpe,Sortino,Calmar,최악의연도,최악연도,최악롤링3년,최악롤링5년,총매매횟수,연평균매매,총세금,연평균세금,세금비중,Sharpe_세후,최악롤링10년,최악롤링3년_세후,roll10_min,roll10_p10,roll10_med,roll10_n,boot_cagr_med,boot_cagr_p10,boot_mdd_med,boot_mdd_p10,stable_main,stable_alt,relax_main,relax_alt
0.0,0.2,0.8,S000_P020_Q080,10%p,ROLL10,"롤링10년(세후, 월별시작)",,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.06550903452613921,0.03585520114449969,0.12101508041253406,201.0,,,,,False,False,False,False
0.0,0.2,0.8,S000_P020_Q080,10%p,BOOT_A,"부트스트랩 A (블록252, 1000회)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05563099574165575,-0.022148564714955687,-0.6474400651681278,-0.8339493234115101,False,False,False,False
0.0,0.2,0.8,S000_P020_Q080,10%p,BOOT_C,"부트스트랩 C (블록252, 1000회)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09040694208121347,0.021345979705451514,-0.6259118053988224,-0.8102070634131104,False,False,False,False
0.0,0.3,0.7,S000_P030_Q070,10%p,A,A 2000–2019,27720.878968691275,24226.406687351133,32030366.81316402,0.05246124686981202,0.04538050522059378,0.05373023750393613,-0.7528608647372428,2000-03-24,2002-10-09,3472.0,True,0.2387620976845322,0.26332989891607494,0.3746683389427487,0.0696825261173877,-0.40357365684808133,2008.0,-0.33134395552293094,-0.15587944296927503,19.0,0.9518886679920477,3494.472281340143,175.0709771168422,0.1260592164226429,0.23523721285537794,-0.057753015177994804,-0.33134395552293094,,,,,,,,,False,False,False,False
0.0,0.3,0.7,S000_P030_Q070,10%p,B,B 2020–2026,31172.69424942955,27069.879508091864,41780762.10251042,0.18564637778272797,0.16087060101014172,0.2118793390023488,-0.3188792587765845,2021-12-27,2022-10-14,492.0,True,0.23144864634883183,0.7253091082769231,1.0302488446945142,0.5821839228270311,-0.28357740939022347,2022.0,0.05353368877224374,0.12389562878414928,6.0,0.8978622327790974,4102.814741337685,613.9604007227414,0.13161566044015477,0.6248577519628914,,0.05353368877224374,,,,,,,,,False,False,False,False
0.0,0.3,0.7,S000_P030_Q070,10%p,C,C 2000–2026,87846.05131095639,72015.82168222363,117740062.57207485,0.08500621370073991,0.07694563070836491,0.09205069848156633,-0.7528608647372428,2000-03-24,2002-10-09,3472.0,True,0.23695190879658273,0.3788577202067983,0.538862900380853,0.11291092110413797,-0.40357365684808133,2008.0,-0.33134395552293094,-0.15587944296927503,26.0,0.9757259865971706,15830.229628732764,594.0756316367322,0.18020422537487893,0.34655103632763784,-0.057753015177994804,-0.33134395552293094,,,,,,,,,False,False,False,False
0.0,0.3,0.7,S000_P030_Q070,10%p,S1,2000–2012,8744.203754227728,8744.203754227728,9297187.19964509,-0.010218250485228397,-0.010218250485228397,-0.014720625500082796,-0.7528608647372428,2000-03-24,2002-10-09,3211.0,False,0.2752100880990543,0.02184800765170154,0.031128695892007348,-0.013572561629690614,-0.40357365684808133,2008.0,-0.33134395552293094,-0.15587944296927503,12.0,0.9253365973072215,0.0,0.0,0.0,0.02184800765170154,-0.057753015177994804,-0.33134395552293094,,,,,,,,,False,False,False,False
0.0,0.3,0.7,S000_P030_Q070,10%p,S2,2013–2021,54569.72351537649,45423.61055717847,64861027.67314134,0.20782516250513305,0.18343395638666693,0.22288032298807647,-0.2961669892490504,2020-02-19,2020-03-23,156.0,True,0.18288914249811153,1.0887394705745663,1.526466993399812,0.7017161603056659,-0.016262794970227312,2018.0,0.06967107618436907,0.08121735499832639,8.0,0.8896734333627537,9146.112958198013,1017.1317146804498,0.16760416525879682,0.9415490303354138,,0.06967107618436907,,,,,,,,,False,False,False,False
0.0,0.3,0.7,S000_P030_Q070,10%p,S3,2022–2026,17653.853251919703,16369.865595853407,23661459.51354798,0.12941192850056993,0.11132959672071419,0.15820325622825493,-0.31693280689607184,2022-01-03,2022-10-14,486.0,True,0.2127951644388105,0.4856845966940373,0.6974314824699024,0.40832607317615593,-0.2895923203492182,2022.0,0.05353368877224396,,4.0,0.8549618320610687,1283.987656066297,274.44010969355963,0.072731297680107,0.40735682592896766,,0.05353368877224396,,,,,,,,,False,False,False,False
0.0,0.3,0.7,S000_P030_Q070,10%p,OOS2,2013–2026,97346.7549705473,79687.3991421479,130473855.68702455,0.18115251224914442,0.16398880771427238,0.2013201106073097,-0.3188792587765852,2021-12-27,2022-10-14,492.0,True,0.19360316545676318,0.8625480192047931,1.2211916531309064,0.5680912359874256,-0.2835774093902239,2022.0,0.05353368877224418,0.08121735499832639,13.0,0.9506674405107371,17649.026627690353,1290.642690127095,0.18130061585545554,0.769254552220051,0.14251887035836086,0.05339312187140144,,,,,,,,,False,False,False,False
0.0,0.3,0.7,S000_P030_Q070,10%p,ROLL10,"롤링10년(세후, 월별시작)",,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.058847516187756965,0.03490476252646779,0.11601171462494819,201.0,,,,,False,False,False,False
0.0,0.3,0.7,S000_P030_Q070,10%p,BOOT_A,"부트스트랩 A (블록252, 1000회)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05626464934623465,-0.017522562172829364,-0.625671307844463,-0.8099154841081874,False,False,False,False
0.0,0.3,0.7,S000_P030_Q070,10%p,BOOT_C,"부트스트랩 C (블록252, 1000회)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08976021026306069,0.024168637562288642,-0.603642995714057,-0.7863118772422467,False,False,False,False
0.0,0.4,0.6,S000_P040_Q060,10%p,A,A 2000–2019,28401.92894548326,24760.08766566102,32817292.81934809,0.05374178833752996,0.04652232237979548,0.05501232296686909,-0.7225587868598925,2000-03-24,2002-10-09,3414.0,True,0.22889687916805243,0.26996385613759094,0.38376441786652504,0.0743770462900076,-0.3988675857410625,2008.0,-0.30767922582139995,-0.13879813255061102,19.0,0.9518886679920477,3641.84127982224,182.45407604676035,0.12822513875070443,0.24001540025443524,-0.05108694122138524,-0.30767922582139995,,,,,,,,,False,False,False,False
0.0,0.4,0.6,S000_P040_Q060,10%p,B,B 2020–2026,30327.44430022948,26430.284235686595,40647873.59559757,0.18077908940315424,0.15672424744448188,0.2069043596706508,-0.30813535658385605,2021-12-27,2022-10-14,492.0,True,0.2261659860527268,0.7187060145579536,1.019925413565301,0.5866872643482475,-0.2692869555240648,2022.0,0.05293928602464004,0.12304172846383055,6.0,0.8978622327790974,3897.1600645428816,583.1854728413338,0.12850275235732253,0.6184496402168821,,0.05293928602464004,,,,,,,,,False,False,False,False
0.0,0.4,0.6,S000_P040_Q060,10%p,C,C 2000–2026,87500.99522697473,71875.12115612891,117277583.90271422,0.08484597165992036,0.07686659474290036,0.09188941605719547,-0.7225587868598925,2000-03-24,2002-10-09,3414.0,True,0.2282171345451573,0.3838467017031316,0.5454588315847356,0.11742431647485091,-0.3988675857410625,2008.0,-0.30767922582139995,-0.13879813255061102,26.0,0.9757259865971706,15611.570344300271,585.869802943212,0.17841591748533106,0.35044793908898964,-0.05108694122138524,-0.30767922582139995,,,,,,,,,False,False,False,False
