구간,합성,원천징수,key,CAGR_중앙,CAGR_하위10,CAGR_음수비율,MDD_중앙,MDD_하위10,붕괴기준,붕괴경로비율,붕괴경로_CAGR_중앙,비붕괴경로_CAGR_중앙,합성3배_붕괴비율,합성2배_붕괴비율
A,기본,적용,C100,6.328680370440775,2.3577243425532712,2.8000000000000003,-39.42186077248529,-53.96072376455037,합성3배,43.5,4.280208690187526,7.857901985456661,43.5,11.700000000000001
A,보정,적용,P3,7.448236910828898,0.9103440509449136,6.3,-51.721285750596934,-70.25390219392192,합성3배,46.1,4.033427364295328,10.134062686121093,46.1,12.5
A,보정,적용,A80,7.200484250453043,1.5387052715513883,4.8,-46.83668481440106,-64.72107704387507,합성3배,46.1,4.133813441473566,9.475960113456306,46.1,12.5
A,보정,적용,A-Q1,6.534610327409007,1.0931950939737711,6.2,-46.374065053872094,-64.69495215706665,합성2배,12.5,0.5258721913173003,7.094500761899036,46.1,12.5
A,보정,적용,A-Q2,6.937126905593349,0.04813656302375764,9.9,-56.237249607993775,-74.81763293518756,합성2배,12.5,-0.7904153314916562,7.707606036873038,46.1,12.5
A,보정,적용,C,6.687994658390373,-1.2230490791834565,14.6,-62.85656810333853,-81.10604805613825,합성3배,46.1,2.3205801900959333,10.11472696474003,46.1,12.5
A,보정,적용,B-opt,5.8626428930042,-0.225518677090225,10.8,-53.343478913178146,-71.90267986793566,합성3배,46.1,2.5824882029710006,8.265573093496448,46.1,12.5
A,보정,적용,B1,5.734245511573399,-0.901460425515552,13.4,-57.63812947774449,-76.46047517400109,합성3배,46.1,2.0622509040366444,8.534957771717933,46.1,12.5
A,보정,적용,B2,5.721073350143779,-1.385450329368496,14.799999999999999,-60.14715619335715,-78.72407713029733,합성3배,46.1,1.8571022513043767,8.632055613573408,46.1,12.5
A,보정,적용,B3,5.733898422263161,-0.5717568275881357,11.899999999999999,-55.393495893980756,-74.16205610262885,합성3배,46.1,2.3173404410329113,8.322554479093093,46.1,12.5
A,보정,적용,SPY,5.872003482547939,0.8492395188608538,7.9,-50.37215930677128,-68.15838448849387,합성3배,46.1,3.221320151606566,7.870448636576888,46.1,12.5
A,보정,적용,QQQ,5.212026616846998,-3.5491673462389524,21.7,-69.97143721129942,-88.04154760911251,합성3배,46.1,0.22702529157037077,8.92286649096481,46.1,12.5
A,보정,적용,C100,6.328680370440775,2.3577243425532712,2.8000000000000003,-39.42186077248529,-53.96072376455037,합성3배,46.1,4.349583931126677,7.962710315830179,46.1,12.5
C,기본,미적용,P3,10.463403102757251,4.708749510193016,1.4000000000000001,-51.5644901239492,-68.26337064686689,합성3배,34.8,6.999307461960291,12.331413136654547,34.8,7.1
C,기본,미적용,C100,8.434020059953806,4.88089573205297,0.7000000000000001,-39.5985998322161,-52.06208493748644,합성3배,34.8,6.35355494459594,9.542783244873565,34.8,7.1
C,기본,적용,P3,10.193065846816241,4.4432961685971595,1.5,-51.98807972375262,-68.48824100253726,합성3배,34.8,6.727770985951009,12.060888333532516,34.8,7.1
C,기본,적용,A80,9.59380767851803,4.748978817698881,1.2,-47.05450747336663,-63.59052671835263,합성3배,34.8,6.641740245475248,11.208918557657288,34.8,7.1
C,기본,적용,A-Q1,8.873926243264885,4.1869239382256245,1.5,-46.246271593191935,-62.965163278519235,합성2배,7.1,2.7747332850057926,9.26913415882391,34.8,7.1
C,기본,적용,A-Q2,9.933976042359362,3.9075441221656337,2.4,-55.24491334374358,-73.20524484232025,합성2배,7.1,1.9452577938808835,10.329106658920818,34.8,7.1
C,기본,적용,C,10.08482630315225,3.1062028453169326,3.5000000000000004,-62.00672964611092,-79.12644701662347,합성3배,34.8,5.735659697785122,12.293038749314377,34.8,7.1
C,기본,적용,B-opt,8.387586891273612,3.2013896095044685,2.8000000000000003,-52.43504752408957,-70.08794573914138,합성3배,34.8,5.244105190104575,9.959361155591118,34.8,7.1
C,기본,적용,B1,8.682381703564634,2.628280736481961,3.5000000000000004,-55.49560653194199,-73.87793071813098,합성3배,34.8,4.898391004566916,10.314031886010078,34.8,7.1
C,기본,적용,B2,8.769763799372132,2.5559683847740278,3.9,-57.79235864070663,-76.63215770755652,합성3배,34.8,4.726518412412939,10.630358092299009,34.8,7.1
C,기본,적용,B3,8.400290181712123,2.8337466610577366,3.2,-53.57846996538555,-71.97481730669288,합성3배,34.8,5.006412964675954,9.97681860170716,34.8,7.1
C,기본,적용,SPY,8.175499848736777,3.639560044737038,2.1,-50.85630269938643,-66.50409103272305,합성3배,34.8,5.593065750122084,9.480364574368815,34.8,7.1
C,기본,적용,QQQ,9.023741222987404,1.3757204956172833,7.7,-68.08095361769224,-85.51645256542498,합성3배,34.8,3.607030095410424,11.260545325374538,34.8,7.1
C,기본,적용,C100,8.123970219885978,4.5876917753806845,0.7000000000000001,-39.852608842056554,-52.72393382400892,합성3배,34.8,6.035434673900387,9.223494869424965,34.8,7.1
C,보정,적용,P3,10.071771631053528,4.369766117300036,1.6,-52.0344345222455,-68.51165122436726,합성3배,36.9,6.77898027333943,12.04358665565184,36.9,7.3999999999999995
C,보정,적용,A80,9.523127017567,4.680505596309266,1.2,-47.08651036598154,-63.68189560142399,합성3배,36.9,6.635179286064208,11.198739927051093,36.9,7.3999999999999995
C,보정,적용,A-Q1,8.84213115409559,4.157019254592362,1.6,-46.2719962183568,-62.987732937996945,합성2배,7.3999999999999995,2.723946887482054,9.227987390856274,36.9,7.3999999999999995
C,보정,적용,A-Q2,9.884108433256666,3.8657414618934216,2.4,-55.27804452680655,-73.22692285754032,합성2배,7.3999999999999995,1.8793226960170717,10.29267184623308,36.9,7.3999999999999995
C,보정,적용,C,9.983524227395236,2.9680452425329045,3.5000000000000004,-62.13588392581417,-79.15052481730596,합성3배,36.9,5.8512408784436865,12.33599339137188,36.9,7.3999999999999995
C,보정,적용,B-opt,8.387586891273612,3.2013896095044685,2.8000000000000003,-52.43504752408957,-70.08794573914138,합성3배,36.9,5.35554995423464,10.050942184707413,36.9,7.3999999999999995
C,보정,적용,B1,8.682381703564634,2.628280736481961,3.5000000000000004,-55.49560653194199,-73.87793071813098,합성3배,36.9,4.962162653177926,10.392708299454,36.9,7.3999999999999995
C,보정,적용,B2,8.769763799372132,2.5559683847740278,3.9,-57.79235864070663,-76.63215770755652,합성3배,36.9,4.863685098781878,10.716782631714405,36.9,7.3999999999999995
C,보정,적용,B3,8.400290181712123,2.8337466610577366,3.2,-53.57846996538555,-71.97481730669288,합성3배,36.9,5.070291615269373,10.06881313398087,36.9,7.3999999999999995
C,보정,적용,SPY,8.175499848736777,3.639560044737038,2.1,-50.85630269938643,-66.50409103272305,합성3배,36.9,5.618075373526521,9.563376593653983,36.9,7.3999999999999995
C,보정,적용,QQQ,9.023741222987404,1.3757204956172833,7.7,-68.08095361769224,-85.51645256542498,합성3배,36.9,3.8364588682557654,11.414285522121293,36.9,7.3999999999999995
C,보정,적용,C100,8.123970219885978,4.5876917753806845,0.7000000000000001,-39.852608842056554,-52.72393382400892,합성3배,36.9,6.087349333434888,9.280749149398027,36.9,7.3999999999999995
