최종자산_명목,누적납입,누적세금,환전비용,XIRR_명목,평가액MDD,단위가치MDD,원금하회_최장거래일,원금대비_최대평가손실,목표25억_최초도달,리밸런싱매도_원화,리밸런싱실현이익_원화,TQQQ연말최대매수_원화,그때_TQQQ고점대비,TQQQ연말최대매수_일자,S1_청산일,S2_동결,key,시나리오,구간,창
2464887927.020378,910500000.0,419306545.554388,910500.0,0.11417001115320739,-0.21708402622567335,-0.26010203686948374,21,8556591.33127883,2016-12-15,722117326.2439103,470069452.3203769,50162180.686059676,-0.8968061364055567,2009-01-02,해당 없음,해당 없음,P3,기본,롤링14년 2003-06-02,14
2427844020.6653943,906000000.0,410521836.9118453,906000.0,0.11274922243506763,-0.21725563905059564,-0.2604056400294984,22,10065159.733737856,2016-12-19,711577384.5787439,462911549.47956836,49169003.769288994,-0.8968061364055568,2009-01-02,해당 없음,해당 없음,P3,기본,롤링14년 2003-07-01,14
2454995792.6995916,906000000.0,418768333.1531683,906000.0,0.11395141223273664,-0.2174367787677196,-0.2607202432493576,25,11745279.42920518,2016-12-22,699749876.6187854,454551853.8363989,48152608.83211551,-0.8968061364055567,2009-01-02,해당 없음,해당 없음,P3,기본,롤링14년 2003-08-01,14
2446585736.7787914,910500000.0,416294789.42914474,910500.0,0.11333954486547063,-0.21784674968077167,-0.2614268716245961,59,20480830.854037225,2017-02-17,678552655.7312635,437052573.33149445,45962187.63324216,-0.8968061364055567,2009-01-02,해당 없음,해당 없음,P3,기본,롤링14년 2003-09-02,14
2503793422.2920384,906000000.0,433300093.8582704,906000.0,0.116129278488725,-0.21782985158754553,-0.26145300883913536,48,15453254.545302093,2017-02-17,679227715.3968999,440000408.33759594,46045891.16645529,-0.8968061364055568,2009-01-02,해당 없음,해당 없음,P3,기본,롤링14년 2003-10-01,14
2489865688.984091,910500000.0,429633989.62605137,910500.0,0.11523051763150759,-0.21829762085696347,-0.2623428011358079,128,28263036.818240583,2017-03-03,651503044.0216771,418230701.096153,43262935.06594424,-0.8968061364055568,2009-01-02,해당 없음,해당 없음,P3,기본,롤링14년 2003-11-03,14
2477703045.934621,906000000.0,427776765.8754101,906000.0,0.11495055938155326,-0.21850045943781315,-0.26283740059256744,137,31628889.779435456,2017-04-27,640681546.1305447,411538875.03033936,42096875.42463442,-0.8968061364055567,2009-01-02,해당 없음,해당 없음,P3,기본,롤링14년 2003-12-01,14
2442359356.842962,906000000.0,418161205.9615074,906000.0,0.11344233640704217,-0.2187185491145246,-0.26336922955652264,345,35255967.9565413,2017-05-05,629483987.4156842,404505842.2228292,40892096.325201266,-0.8968061364055568,2009-01-02,해당 없음,해당 없음,P3,기본,롤링14년 2004-01-02,14
2609025787.939227,910500000.0,462038475.9139147,910500.0,0.12033911739962568,-0.21898241067078106,-0.26381362804602404,345,34969504.88663697,2017-05-25,937312918.9961666,691361527.5137496,40223248.65184604,-0.8968061364055568,2009-01-02,해당 없음,해당 없음,P3,기본,롤링14년 2004-02-02,14
2535087353.703762,906000000.0,442711253.0296496,906000.0,0.11748798238689634,-0.2194416247806168,-0.2645839286815812,430,37518574.41341281,2017-06-01,924071432.3249617,682017794.1602018,39102870.36669973,-0.896806136405557,2009-01-02,해당 없음,해당 없음,P3,기본,롤링14년 2004-03-01,14
