G,key,구간,CAGR_세후,Sharpe_세후,Sharpe,MDD,최장회복_거래일,최종자산_세후,순위_Sharpe세후,순위_CAGR세후,순위_MDD
G1,C100,A,0.050756849249044445,0.2964422875932505,0.34376632671144663,-0.4380364400831567,1453,26838.438926708397,3.0,3.0,1.0
G1,C100,B,0.10718025596266578,0.5378109306756758,0.6466246982834535,-0.2657815434198535,496,19726.80194560445,7.0,7.0,1.0
G1,C100,C,0.06712475331463108,0.3752907197913887,0.4248909425538325,-0.4380364400831567,1453,56417.16665210711,3.0,7.0,1.0
G1,B-opt,A,0.04839877566476636,0.25144559837081787,0.2859566490439002,-0.614877074408315,3227,25661.467024304948,5.0,5.0,4.0
G1,B-opt,B,0.14093715210015745,0.5943126535516021,0.6953583365326307,-0.317870236882971,491,24111.245965649996,5.0,5.0,4.0
G1,B-opt,C,0.07430449509613601,0.35422234752880205,0.39090916983330676,-0.614877074408315,3227,67454.68621266432,4.0,5.0,4.0
G1,B1,A,0.04684199919302556,0.2420902068893288,0.2734742632478666,-0.6895830959448848,3356,24911.49272926351,6.0,6.0,6.0
G1,B1,B,0.1503563411268456,0.6219184028626945,0.7236558805533663,-0.30562246231168777,490,25473.04061336149,4.0,3.0,2.0
G1,B1,C,0.07546821951993987,0.35109837670736443,0.3851427998167676,-0.6895830959448848,3356,69429.03927897288,5.0,4.0,6.0
G1,SPY,A,0.04972735206526924,0.2619816374273099,0.2999105128704443,-0.5542179376787053,1682,26318.420560249822,4.0,4.0,3.0
G1,SPY,B,0.12645317324641092,0.5391186786105507,0.639297155303416,-0.33737498940996,488,22138.13600711137,6.0,6.0,6.0
G1,SPY,C,0.07121558548938589,0.34817921142371666,0.3905765783180306,-0.5542179376787053,1682,62472.6603754516,6.0,6.0,3.0
G1,QQQ,A,0.040895670657892014,0.22214041695057787,0.24385723805754392,-0.8296413105860335,3791,22234.08207927515,7.0,7.0,7.0
G1,QQQ,B,0.1718250135949262,0.6356719892773206,0.7369792944488529,-0.3517822059268173,517,28823.324862563553,3.0,1.0,7.0
G1,QQQ,C,0.07554963825425176,0.33133757129169245,0.3610668684202451,-0.8296413105860335,3791,69569.23510012208,7.0,3.0,7.0
G2,P3,A,0.06502793962308262,0.3266712315162071,0.36111664427658935,-0.625529714868172,2787,35131.782874679215,1.0,1.0,5.0
G2,P3,B,0.167488449676922,0.665887818077849,0.7478615032442146,-0.3300131844321176,368,28117.975077729578,1.0,2.0,5.0
G2,P3,C,0.0921849184631911,0.42776373844531695,0.467239099331554,-0.625529714868172,2787,104721.87697244002,1.0,1.0,5.0
G2,A80,A,0.061490312766620425,0.3243675061578305,0.360718418126297,-0.5525477207357814,1910,32874.42843661118,2.0,2.0,2.0
G2,A80,B,0.14880762790835145,0.6416950032288673,0.729373589627271,-0.309229140535604,386,25244.7437147576,2.0,4.0,3.0
G2,A80,C,0.08534226379339716,0.4219811010226038,0.461513933487652,-0.5525477207357814,1910,88573.94065533244,2.0,2.0,2.0
G2,C100,A,0.0499992279425876,0.2914329966123771,0.3380103980160896,-0.43939125755923114,1454,26454.812312629983,3.0,3.0,1.0
G2,C100,B,0.10632894182438757,0.533013159511106,0.6404464380508498,-0.2658953288340291,496,19625.662385447606,7.0,7.0,1.0
G2,C100,C,0.06630476598474,0.3700570908773953,0.41897874919136585,-0.43939125755923114,1454,55273.30036082054,3.0,7.0,1.0
G2,B-opt,A,0.04839877566476636,0.25144559837081787,0.2859566490439002,-0.614877074408315,3227,25661.467024304948,5.0,5.0,4.0
