최종자산_명목,누적납입,누적세금,환전비용,XIRR_명목,평가액MDD,단위가치MDD,원금하회_최장거래일,원금대비_최대평가손실,목표25억_최초도달,리밸런싱매도_원화,리밸런싱실현이익_원화,TQQQ연말최대매수_원화,그때_TQQQ고점대비,TQQQ연말최대매수_일자,S1_청산일,S2_동결,key,구간,배분,과세기준
12699578646.833422,1594500000.0,2901697033.3227735,1594500.0,0.12078679411934629,-0.3324951074232583,-0.6053778720141922,1767,146849226.13259435,2016-11-10,5300219306.878597,3900303960.597725,530284839.3824772,-0.95921089100594,2023-01-03,해당 없음,해당 없음,A80,2000-01~2026-09,M1,USD
12758860565.30569,1594500000.0,3011790069.2572756,1594500.0,0.12103340516622241,-0.3024399593989714,-0.5214511523564197,1491,127017188.40992716,2016-11-09,5426185742.602401,3954521673.6914186,568333763.3508706,-0.95921089100594,2023-01-03,해당 없음,해당 없음,A80,2000-01~2026-09,M2,원화
12818644760.961,1594500000.0,2921132856.9380875,1594500.0,0.1212808996706207,-0.3024399593989714,-0.5214511523564197,1491,127017188.40992716,2016-11-09,5414281065.314978,3945571417.582654,566655323.1216002,-0.95921089100594,2023-01-03,해당 없음,해당 없음,A80,2000-01~2026-09,M2,USD
7897148894.249463,1594500000.0,1760492510.2875504,1594500.0,0.09532834812560816,-0.28293712760882594,-0.36954670043377313,425,88726207.40053394,2017-10-02,766176456.821584,622580452.6465439,0.0,,,해당 없음,해당 없음,C100,2000-01~2026-09,M1,원화
7963459233.15004,1594500000.0,1712223478.557544,1594500.0,0.09578253483079434,-0.28293712760882594,-0.36954670043377313,425,88726207.40053394,2017-09-28,768240643.6946859,624406463.4006666,0.0,,,해당 없음,해당 없음,C100,2000-01~2026-09,M1,USD
7858001761.50036,1594500000.0,1736269326.2507236,1594500.0,0.09505829874364678,-0.2791789642734379,-0.36428130136354975,425,87382317.76146325,2017-10-02,1331853076.9761627,908975032.5350107,0.0,,,해당 없음,해당 없음,C100,2000-01~2026-09,M2,원화
7914053835.6143875,1594500000.0,1674803723.7728703,1594500.0,0.09544452239769048,-0.2791789642734379,-0.36428130136354975,425,87382317.76146325,2017-10-02,1331155198.5861235,908447798.8004014,0.0,,,해당 없음,해당 없음,C100,2000-01~2026-09,M2,USD
10705186229.704025,1594500000.0,2522322466.8951936,1594500.0,0.11170478588767581,-0.3652001096353624,-0.5788481703353977,1586,143711700.29326186,2017-03-01,1276740874.5326552,977398796.7995269,0.0,,,해당 없음,해당 없음,B-opt,2000-01~2026-09,M1,원화
10759980317.711452,1594500000.0,2461614663.9846196,1594500.0,0.11197725781201288,-0.3652001096353624,-0.5788481703353977,1586,143711700.29326186,2017-03-01,1275840656.8551266,976680245.8251767,0.0,,,해당 없음,해당 없음,B-opt,2000-01~2026-09,M1,USD
10688200237.395077,1594500000.0,2512658228.980837,1594500.0,0.11162002301616673,-0.3648137107226065,-0.5770903270716393,1581,143449186.72887158,2017-03-01,1592554977.5710526,1117304222.0463376,0.0,,,해당 없음,해당 없음,B-opt,2000-01~2026-09,M2,원화
10745543870.531528,1594500000.0,2450786611.9587417,1594500.0,0.11190561198913639,-0.3648137107226065,-0.5770903270716393,1581,143449186.72887158,2017-03-01,1591826625.4720452,1116730507.967659,0.0,,,해당 없음,해당 없음,B-opt,2000-01~2026-09,M2,USD
12095554696.170935,1594500000.0,2896309896.582912,1594500.0,0.11820340555075817,-0.37768057328890503,-0.65486836666568,1762,160798088.37711748,2016-12-13,1835592329.6990128,1427310482.9259756,0.0,,,해당 없음,해당 없음,B1,2000-01~2026-09,M1,원화
12148926539.58651,1594500000.0,2837459770.7726774,1594500.0,0.11843703844086322,-0.37768057328890503,-0.65486836666568,1762,160798088.37711748,2016-12-13,1834479117.071426,1426421023.587262,0.0,,,해당 없음,해당 없음,B1,2000-01~2026-09,M1,USD
12057287924.844236,1594500000.0,2879500814.2007246,1594500.0,0.11803523087213992,-0.3765546236834003,-0.6532702398851173,1772,159811068.92452958,2016-12-15,2241202446.1028543,1599734966.3222957,0.0,,,해당 없음,해당 없음,B1,2000-01~2026-09,M2,원화
12113647357.53303,1594500000.0,2817627245.3476505,1594500.0,0.11828272577076987,-0.3765546236834003,-0.6532702398851173,1772,159811068.92452958,2016-12-15,2240059946.601987,1598835762.2908373,0.0,,,해당 없음,해당 없음,B1,2000-01~2026-09,M2,USD
9005897503.067122,1594500000.0,2090138770.0958545,1594500.0,0.10243628577059358,-0.3515497187933513,-0.45617565717008945,1348,116545166.633185,2017-09-26,0.0,0.0,0.0,,,해당 없음,해당 없음,SPY,2000-01~2026-09,M1,원화
9062936357.094326,1594500000.0,2033099916.068648,1594500.0,0.10277641452669795,-0.3515497187933513,-0.45617565717008945,1348,116545166.633185,2017-09-26,0.0,0.0,0.0,,,해당 없음,해당 없음,SPY,2000-01~2026-09,M1,USD
9005897503.067122,1594500000.0,2090138770.0958545,1594500.0,0.10243628577059358,-0.3515497187933513,-0.45617565717008945,1348,116545166.633185,2017-09-26,0.0,0.0,0.0,,,해당 없음,해당 없음,SPY,2000-01~2026-09,M2,원화
9062936357.094326,1594500000.0,2033099916.068648,1594500.0,0.10277641452669795,-0.3515497187933513,-0.45617565717008945,1348,116545166.633185,2017-09-26,0.0,0.0,0.0,,,해당 없음,해당 없음,SPY,2000-01~2026-09,M2,USD
16960548052.062326,1594500000.0,4333758155.709886,1594500.0,0.13602508575870495,-0.5278873265367587,-0.8094441877231795,1927,198752547.08737236,2015-11-09,0.0,0.0,0.0,,,해당 없음,해당 없음,QQQ,2000-01~2026-09,M1,원화
17017586906.08953,1594500000.0,4276719301.68268,1594500.0,0.1362010409055685,-0.5278873265367587,-0.8094441877231795,1927,198752547.08737236,2015-11-09,0.0,0.0,0.0,,,해당 없음,해당 없음,QQQ,2000-01~2026-09,M1,USD
16960548052.062326,1594500000.0,4333758155.709886,1594500.0,0.13602508575870495,-0.5278873265367587,-0.8094441877231795,1927,198752547.08737236,2015-11-09,0.0,0.0,0.0,,,해당 없음,해당 없음,QQQ,2000-01~2026-09,M2,원화
17017586906.08953,1594500000.0,4276719301.68268,1594500.0,0.1362010409055685,-0.5278873265367587,-0.8094441877231795,1927,198752547.08737236,2015-11-09,0.0,0.0,0.0,,,해당 없음,해당 없음,QQQ,2000-01~2026-09,M2,USD
1121787374.5098684,514500000.0,164683372.6822242,514500.0,0.1790418590575619,-0.2723106880316061,-0.292461641860876,51,35625714.01410182,미도달,264604902.99415445,159207014.39708763,21240112.359118905,-0.8082480024052343,2023-01-03,해당 없음,해당 없음,P3,2020-01~2026-09,M1,원화
1127847442.976067,514500000.0,157632765.871441,514500.0,0.18029056407169614,-0.2723106880316061,-0.292461641860876,51,35625714.01410182,미도달,264173655.9148059,158937363.95343947,21172454.44798582,-0.8082480024052343,2023-01-03,해당 없음,해당 없음,P3,2020-01~2026-09,M1,USD
1143218808.7990227,514500000.0,170025865.20288357,514500.0,0.18342942037398577,-0.2699047461125712,-0.2901213464746074,51,35126568.59502113,미도달,330211319.3418007,184203665.17243183,48226648.80943018,-0.8082480024052343,2023-01-03,해당 없음,해당 없음,P3,2020-01~2026-09,M2,원화
1149315009.481896,514500000.0,163381389.3100754,514500.0,0.18466314219586757,-0.2699047461125712,-0.2901213464746074,51,35126568.59502113,미도달,329941165.7726193,184048208.95210844,48155438.95102057,-0.8082480024052343,2023-01-03,해당 없음,해당 없음,P3,2020-01~2026-09,M2,USD
1050860649.422726,514500000.0,145883303.44580647,514500.0,0.16392731738327043,-0.2490748687787273,-0.2698972572566041,46,33244276.191181585,미도달,195649340.13316998,118099881.74035552,8743477.0184661,-0.8082480024052343,2023-01-03,해당 없음,해당 없음,A80,2020-01~2026-09,M1,원화
1057590591.4854498,514500000.0,138377262.23510244,514500.0,0.1654027818216755,-0.2490748687787273,-0.2698972572566041,46,33244276.191181585,미도달,195374126.69940546,117930557.79630077,8722919.391674876,-0.8082480024052343,2023-01-03,해당 없음,해당 없음,A80,2020-01~2026-09,M1,USD
1065926282.1638154,514500000.0,149310874.25119537,514500.0,0.16721785496580788,-0.2464665278502337,-0.2673578108164174,51,32753295.240443558,미도달,246323615.70535764,138085099.863321,32715092.392585166,-0.8082480024052343,2023-01-03,해당 없음,해당 없음,A80,2020-01~2026-09,M2,원화
1072657820.9362994,514500000.0,142222168.0257893,514500.0,0.16867372575295186,-0.2464665278502337,-0.2673578108164174,51,32753295.240443558,미도달,246168986.47387475,137993887.60887438,32680495.31710444,-0.8082480024052343,2023-01-03,해당 없음,해당 없음,A80,2020-01~2026-09,M2,USD
906990520.8603848,514500000.0,110142455.75680846,514500.0,0.12999352346823553,-0.20972559081985032,-0.2271076847695176,51,28490077.483436346,미도달,30975017.40552266,20730013.346182823,0.0,,,해당 없음,해당 없음,C100,2020-01~2026-09,M1,원화
915097713.4453243,514500000.0,102035263.17186902,514500.0,0.13203987402759634,-0.20500390876733066,-0.2271076847695176,51,28490077.483436346,미도달,30975017.40552266,20730013.346182823,0.0,,,해당 없음,해당 없음,C100,2020-01~2026-09,M1,USD
912340501.0682887,514500000.0,110841891.51695903,514500.0,0.13134590424286052,-0.2090544608079692,-0.22433412489570193,51,28006748.531288445,미도달,77015706.145851,40993202.05784912,0.0,,,해당 없음,해당 없음,C100,2020-01~2026-09,M2,원화
920324151.9199306,514500000.0,102876382.60189493,514500.0,0.13334977631108325,-0.20221983512606356,-0.22433412489570193,51,28006748.531288445,미도달,77022440.86250828,40997411.617616415,0.0,,,해당 없음,해당 없음,C100,2020-01~2026-09,M2,USD
1012094783.6003442,514500000.0,138035887.80605033,514500.0,0.15524746406724926,-0.25467002465504296,-0.2754551175397648,56,35437794.15005593,미도달,18771823.333780684,8417588.755351225,0.0,,,해당 없음,해당 없음,B-opt,2020-01~2026-09,M1,원화
1019968426.7256441,514500000.0,130162674.60466982,514500.0,0.15703597654476587,-0.25467002465504296,-0.2754551175397648,56,35437794.15005593,미도달,18771865.545723528,8417614.598036733,0.0,,,해당 없음,해당 없음,B-opt,2020-01~2026-09,M1,USD
1018613709.7187203,514500000.0,138424654.65796265,514500.0,0.15672919839335842,-0.2539597648973426,-0.27476103241548977,56,35296904.88449004,미도달,83776915.09923923,33681264.17225096,0.0,,,해당 없음,해당 없음,B-opt,2020-01~2026-09,M2,원화
1026579440.7982688,514500000.0,130539670.55002217,514500.0,0.1585274525389037,-0.2539597648973426,-0.27476103241548977,56,35296904.88449004,미도달,83787445.21797052,33687203.24596131,0.0,,,해당 없음,해당 없음,B-opt,2020-01~2026-09,M2,USD
1044190787.110047,514500000.0,146613154.62221378,514500.0,0.16245605104101965,-0.24351509298715712,-0.26442917299751834,38,32450877.79564862,미도달,21646810.73316873,9347623.51523085,0.0,,,해당 없음,해당 없음,B1,2020-01~2026-09,M1,원화
1052157874.8279419,514500000.0,138675574.69893673,514500.0,0.16421242348456577,-0.24351509298715712,-0.26442917299751834,38,32450877.79564862,미도달,21648877.329736635,9348833.958391624,0.0,,,해당 없음,해당 없음,B1,2020-01~2026-09,M1,USD
1052357027.8185378,514500000.0,147581109.44245428,514500.0,0.16425616375267146,-0.2435862013112564,-0.2644933962728242,38,32429362.420386255,미도달,112381547.05340233,46117004.1258226,0.0,,,해당 없음,해당 없음,B1,2020-01~2026-09,M2,원화
1060109369.04419,514500000.0,139882326.9363745,514500.0,0.165952680545346,-0.2435862013112564,-0.2644933962728242,38,32429362.420386255,미도달,112386064.40518212,46121156.17684482,0.0,,,해당 없음,해당 없음,B1,2020-01~2026-09,M2,USD
971615196.6058024,514500000.0,128369914.42727755,514500.0,0.1458354149926937,-0.27599806644330105,-0.2964163226498373,62,40330925.59070285,미도달,0.0,0.0,0.0,,,해당 없음,해당 없음,SPY,2020-01~2026-09,M1,원화
979722388.4047388,514500000.0,120262722.62834103,514500.0,0.14775035982932372,-0.27599806644330105,-0.2964163226498373,62,40330925.59070285,미도달,0.0,0.0,0.0,,,해당 없음,해당 없음,SPY,2020-01~2026-09,M1,USD
971615196.6058024,514500000.0,128369914.42727755,514500.0,0.1458354149926937,-0.27599806644330105,-0.2964163226498373,62,40330925.59070285,미도달,0.0,0.0,0.0,,,해당 없음,해당 없음,SPY,2020-01~2026-09,M2,원화
979722388.4047388,514500000.0,120262722.62834103,514500.0,0.14775035982932372,-0.27599806644330105,-0.2964163226498373,62,40330925.59070285,미도달,0.0,0.0,0.0,,,해당 없음,해당 없음,SPY,2020-01~2026-09,M2,USD
1153757845.5690684,514500000.0,179743482.08358335,514500.0,0.1855583414711218,-0.2774833567197369,-0.3073891027892528,27,28586524.848142624,미도달,0.0,0.0,0.0,,,해당 없음,해당 없음,QQQ,2020-01~2026-09,M1,원화
1161865037.3680048,514500000.0,171636290.28464684,514500.0,0.18718345219004703,-0.272406397956256,-0.3073891027892528,27,28586524.848142624,미도달,0.0,0.0,0.0,,,해당 없음,해당 없음,QQQ,2020-01~2026-09,M1,USD
1153757845.5690684,514500000.0,179743482.08358335,514500.0,0.1855583414711218,-0.2774833567197369,-0.3073891027892528,27,28586524.848142624,미도달,0.0,0.0,0.0,,,해당 없음,해당 없음,QQQ,2020-01~2026-09,M2,원화
1161865037.3680048,514500000.0,171636290.28464684,514500.0,0.18718345219004703,-0.272406397956256,-0.3073891027892528,27,28586524.848142624,미도달,0.0,0.0,0.0,,,해당 없음,해당 없음,QQQ,2020-01~2026-09,M2,USD
