최종자산_명목,누적납입,누적세금,환전비용,XIRR_명목,평가액MDD,단위가치MDD,원금하회_최장거래일,원금대비_최대평가손실,목표25억_최초도달,리밸런싱매도_원화,리밸런싱실현이익_원화,TQQQ연말최대매수_원화,그때_TQQQ고점대비,S1_청산일,S2_동결,key,보유년,시작,종료,배분
2131493627.1532032,910500000.0,343934497.40218556,910500.0,0.09818173253381753,-0.22663975671457215,-0.28436101373159106,155,50169226.35426909,미도달,0.0,0.0,0.0,,해당 없음,해당 없음,SPY,14,2006-01-03,2020-01-02,M1
2166121512.4582925,906000000.0,354969298.3856722,906000.0,0.10021842524783924,-0.22663420136074086,-0.2843611258506382,149,45804183.81884968,2020-01-08,0.0,0.0,0.0,,해당 없음,해당 없음,SPY,14,2006-02-01,2020-01-31,M1
2029241566.1176288,906000000.0,316362134.0331773,906000.0,0.09306773088545886,-0.2296588558237591,-0.28436635819582223,154,47446353.51863116,2020-01-16,0.0,0.0,0.0,,해당 없음,해당 없음,SPY,14,2006-03-01,2020-02-28,M1
1776934208.8765082,910500000.0,243930558.91388696,910500.0,0.07795560286939603,-0.3196809666081015,-0.3225100691000754,154,47746231.683087915,2020-01-23,0.0,0.0,0.0,,해당 없음,해당 없음,SPY,14,2006-04-03,2020-04-02,M1
1976885977.868186,906000000.0,301595173.244873,906000.0,0.0901454194432105,-0.29504650693066325,-0.29637818763384693,149,43994303.409271,2020-01-30,0.0,0.0,0.0,,해당 없음,해당 없음,SPY,14,2006-05-01,2020-04-30,M1
2105609688.4327288,906000000.0,337901860.8400004,906000.0,0.09716213115900381,-0.29503975488923073,-0.2963782011514472,138,42332473.95882502,2020-01-30,0.0,0.0,0.0,,해당 없음,해당 없음,SPY,14,2006-06-01,2020-05-29,M1
2101702071.917495,910500000.0,335531751.05365247,910500.0,0.0966328057861359,-0.2950318207956203,-0.29637821703551825,136,41131060.839639634,2020-02-05,0.0,0.0,0.0,,해당 없음,해당 없음,SPY,14,2006-07-03,2020-07-02,M1
2157818667.3164954,906000000.0,352627470.268755,906000.0,0.09980172838408113,-0.29501951812054716,-0.296378241665499,138,41669546.17823142,2020-02-05,0.0,0.0,0.0,,해당 없음,해당 없음,SPY,14,2006-08-01,2020-07-31,M1
2254988962.449022,906000000.0,380034476.58818555,906000.0,0.10463086645657449,-0.2949971269761307,-0.29637828649261466,162,46108892.98219666,2020-02-19,0.0,0.0,0.0,,해당 없음,해당 없음,SPY,14,2006-09-01,2020-08-31,M1
2141673480.9026978,910500000.0,346805738.20332503,910500.0,0.09871997133418044,-0.29498596128426857,-0.29637830884635274,165,45958986.32656065,2020-08-06,0.0,0.0,0.0,,해당 없음,해당 없음,SPY,14,2006-10-02,2020-10-01,M1
